club_name, club_speed, attack_angle, ball_speed, smash_factor, launch_angle, spin_RPM, max_height, land_angle, carry_distance
driver, 115, -0.9, 171, 1.49, 10.4, 2545, 35, 39, 282
driver, 96, 2.8, 143, 1.49, 12.6, 2506, 26, 36, 265
